Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,"RT @FNBSA: This time last year, we were knee-deep into lockdown. It was tough, but 𝙟𝙤𝙣𝙜𝙖 you made it! So we're in the mood to sprinkle some…",2021-05-01 06:51:57,1388385687204995077,Abednig72024855,,"Malamulele, South Africa",False,736,0,en,Twitter for Android
,Most wanted Bhai lockdown m bhi radhe la raha hai thanks Bhai❤️🥰 @BeingSalmanKhan #radhe #lockdown2021 #lockdown,2021-05-01 06:51:57,1388385687062425601,DearSahilkhan,,,False,0,0,en,Twitter for Android
,"RT @WinstonCProject: ""Johnson ruled out lockdown 24 hours after meeting with Sunetra Gupta – resulting in ‘1.3m extra COVID infections’.""…",2021-05-01 06:51:57,1388385686525517826,Kennedy22Debbie,,,False,110,0,en,Twitter for iPhone
,RT @NamaskarPrasad: The economic cost of not vaccinating everyone is way more higher than free vaccination cost to the government. In most…,2021-05-01 06:51:57,1388385686495977477,convey_hq,,India,False,7,0,en,Twitter for Android
,"RT @girlsforpeaceph: STAND WITH WORKERS! MAKE THE DUTERTE ADMIN PAY FOR ITS CRIMINAL NEGLIGENCE!

Suffering from the longest and militarize…",2021-05-01 06:51:56,1388385684239437826,gwenify_,,3d! sA pU$0 mH0,True,37,0,en,Twitter Web App
,@pro__lockdown @Kdaray45 @SkyNews Go back and live in your cave. It’s never going to go 100% so are you happy to li… https://t.co/JPd4Z1Qe6L,2021-05-01 06:51:56,1388385681794273282,AJHughes2408,,"Wrexham, Wales",False,0,0,en,Twitter for iPhone
,RT @mirasga: Lockdown QC. #KilusangMayoUlol,2021-05-01 06:51:55,1388385679214714880,percival_pepito,,,False,15,0,en,Twitter for Android
,RT @KhushbooTweets: The government that went to Supreme Court against Allahabad High Court's order of lockdown in 5 districts is today sayi…,2021-05-01 06:51:54,1388385675750174720,Sagar4000,,Planet Earth,True,1,0,en,Twitter for iPhone
,"RT @Thanos_pandith: Essentials services:
Hindu Rashta
Privatisation
Kisan bills &amp; CAA
Remove reservation in all sectors
Teaching of Sanskri…",2021-05-01 06:51:53,1388385672432549893,mWantPeace,,🇮🇳,False,639,0,en,Twitter for Android
,RT @Reuters: Turkey's ban on alcohol sales during a 17-day lockdown has angered some Turks who see it as an attempt by President Tayyip Erd…,2021-05-01 06:51:53,1388385670281015298,humungus33,,,True,1249,0,en,Twitter for iPhone
