Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,RT @Hk_isi_: The dreadful wave of Corona virus in India 2021. https://t.co/gFVvYxmFsH,2021-05-01 05:25:09,1388363841470451714,Professy92,,...in your blind spot ,True,24,0,en,Twitter for iPhone
,"@AmitShah Night Curfew, Weekend lockdown, Closing down selected business and Social activities, etc - All these are… https://t.co/klOcDzWGXn",2021-05-01 05:25:06,1388363830145650689,SanjayJajodia11,,,False,0,0,en,Twitter Web App
,"RT @athavale_abhi: *Is the second corona wave a planned biological war against India?*
 Do you believe that the second wave of epidemic tha…",2021-05-01 05:25:06,1388363829600415746,Legit_rey,,India,False,2372,0,en,Twitter Web App
,@jayantsinha @BJP4HZB @Bjp4Ramgarh @BJP4India @BJP4Jharkhand @JPNadda @AmitShah They do only talking  but no action… https://t.co/2SS65VEkzG,2021-05-01 05:25:04,1388363820633001991,PRADEIDO,,,True,0,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:24:55,1388363786197757962,pinkianuradha,,Bharat,True,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:24:46,1388363745026482187,ShounakSinhaRay,,"पश्चिम बंगाल, भारत",False,3508,0,en,Twitter for Android
,@PMOIndia what are you doing there? focus on corona virus and it vaccines.,2021-05-01 05:24:44,1388363738001018883,SanjayM98565164,,,False,0,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:24:43,1388363735715127300,RoyalRajput1206,,Vadodara,False,3508,0,en,Twitter Web App
,"Underestimating corona virus , few wrong decisions , no efforts towards improving medical infra , unplanned vaccina… https://t.co/xDBoUjwJn6",2021-05-01 05:24:43,1388363735446609921,rajeshdalal,,"New Delhi, India",True,1,3,en,Twitter for iPhone
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:24:40,1388363722708504578,prabhupp01,,,False,3508,0,en,Twitter for Android
,@TiMoudou I am not a terrorist who is afraid to help you. Help us to save people infected with corona virus from de… https://t.co/cGKWvTXm25,2021-05-01 05:24:38,1388363712176791552,HelpWorld20,,,False,0,1,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:24:37,1388363711241330688,cv_janu,,"Chennai, India",False,3508,0,en,Twitter for Android
,"@collectorsurat Night Curfew, Weekend lockdown, Closing down selected business and Social activities, etc - All the… https://t.co/D0HxpZco2L",2021-05-01 05:24:37,1388363707269398528,SanjayJajodia11,,,False,0,0,en,Twitter Web App
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:24:36,1388363704886988803,SaffronS0ul,,अखंड भारत,False,3508,0,en,Twitter for Android
,"RT @bharatheeya70: Except Modi haters, Break India gang and Anti nationals, entire nation is with Modiji. We will win the war against Coron…",2021-05-01 05:24:35,1388363702055800832,Smriti_uma,,India chennai,False,29,0,en,Twitter for Android
